"indicador";"País";"Exportaciones e importaciones mensuales";"Trimestres y meses";"Años";"valor";"notas";"fuente";""
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Diciembre";"2002";"1966";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"IV";"2002";"6355";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Enero";"2003";"2190.51975";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Febrero";"2003";"2123.87914";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Marzo";"2003";"2241.45754";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"I";"2003";"6555.85643";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Abril";"2003";"2460.688";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Mayo";"2003";"2785.38905";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Junio";"2003";"2878.42629";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"II";"2003";"8124.50334";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Julio";"2003";"2834.80285";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Agosto";"2003";"2346.10674";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Septiembre";"2003";"2368.93252";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"III";"2003";"7549.84211";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Octubre";"2003";"2436.10712";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Noviembre";"2003";"2447.34762";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Diciembre";"2003";"2452.14467";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"IV";"2003";"7335.5994";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Enero";"2004";"2320.81648";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Febrero";"2004";"2394.46627";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Marzo";"2004";"2658.52266";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"I";"2004";"7373.80541";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Abril";"2004";"3039.68748";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Mayo";"2004";"3392.35675";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Junio";"2004";"2947.31777";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"II";"2004";"9379.362";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Julio";"2004";"3026.74133";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Agosto";"2004";"2938.5351";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Septiembre";"2004";"2994.90467";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"III";"2004";"8960.18109";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Octubre";"2004";"2826.15774";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Noviembre";"2004";"3048.27931";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Diciembre";"2004";"2962.38153";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"IV";"2004";"8836.81858";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Enero";"2005";"2781.10542";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Febrero";"2005";"2606.25581";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Marzo";"2005";"3054.43419";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"I";"2005";"8441.79542";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Abril";"2005";"3560.85673";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Mayo";"2005";"3695.28907";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Junio";"2005";"3450.19364";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"II";"2005";"10706.33944";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Julio";"2005";"3601.0016";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Agosto";"2005";"3837.36494";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Septiembre";"2005";"3482.9291";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"III";"2005";"10921.29564";"";"[599]"
